subregion,region
Borough of Luton, bedfordshire
Central bedfordshire,
Bedford, bedfordshire
Bracknell Forest,berkshire
Reading,berkshire
Slough,berkshire
West Berkshire,berkshire
Royal Borough of Windsor and Maidenhead,berkshire
Wokingham,berkshire
Bristol, bristol
City of Bristol, bristol
Buckinghamshire,buckinghamshire
Milton Keynes,buckinghamshire
Cambridgeshire.cambridgeshire
Peterborough,cambridgeshire
City of Peterborough,cambridgeshire
Cheshire West and Chester,cheshire
Cheshire East,cheshire
Halton,cheshire
Warrington,cheshire
Cornwall,cornwall
Cumbria,cumbria
Derbyshire,derbyshire
Derby,derbyshire
Devon,devon
Plymouth,devon
Torbay,devon
Dorset,dorset
Bournemouth,dorset
Christchurch,dorset
Bournemouth Christchurch and Poole,dorset
Poole,dorset
County Durham,durham
Darlington,durham
Hartlepool,durham
Stockton-on-Tees,durham
East Riding of Yorkshire,east-yorkshire-with-hull
Essex,essex
Thurrock,essex
Southend-on-Sea,essex
Gloucestershire,gloucestershire
South Gloucestershire,gloucestershire
The London boroughs,greater-london
greater-london,greater-london
Greater Manchester,greater-manchester
Hampshire,hampshire
Portsmouth,hampshire
Southampton,hampshire
Herefordshire,herefordshire
Hertfordshire,hertfordshire
Isle of Wight,isle-of-wight
Medway,kent
Kent,kent
Lancashire,lancashire
Blackburn with Darwen,lancashire
Blackpool,lancashire
Borough of Blackpool,lancashire
City of Leicester,leicestershire
Leicestershire,leicestershire
Leicester,leicestershire
North Lincolnshire,lincolnshire
Lincolnshire,lincolnshire
North East Lincolnshire,lincolnshire
Merseyside,merseyside
Norfolk,Norfolk
Middlesbrough,north-yorkshire
North Yorkshire,north-yorkshire
Redcar and Cleveland,north-yorkshire
York,north-yorkshire
West Northamptonshire,northamptonshire
North Northamptonshire,northamptonshire
Northumberland,northumberland
Nottingham,nottinghamshire
Nottinghamshire,nottinghamshire
Oxfordshire,oxfordshire
Rutland,rutland
Telford and Wrekin,shropshire
Shropshire,shropshire
Bath and North East Somerset,somerset
North Somerset,somerset
Somerset,somerset
South Yorkshire,south-yorkshire
Stoke-on-Trent,staffordshire
Staffordshire,staffordshire
Suffolk,suffolk
Surrey,surrey
Tyne and Wear,tyne-and-wear
Warwickshire,warwickshire
West Midlands Combined Authority,west-midlands
West Midlands,west-midlands
Brighton and Hove,west-sussex
West Sussex,west-sussex
West Yorkshire,west-yorkshire
Swindon,wiltshire
Wiltshire,wiltshire
Worcestershire,worcestershire



