subregion,region
Ishikawa Prefecture,chubu
Nagano Prefecture,chubu
Niigata Prefecture,chubu
Shizuoka Prefecture,chubu
Toyama Prefecture,chubu
Yamanashi Prefecture,chubu
Hyogo Prefecture,kansai
Kyoto Prefecture,kansai
Mie Prefecture,kansai
Nara Prefecture,kansai
Osaka Prefecture,kansai
Shiga Prefecture,kansai
Wakayama Prefecture,kansai
Hiroshima Prefecture,chugoku
Okayama Prefecture,chugoku
Shimane Prefecture,chugoku
Tottori Prefecture,chugoku
Yamaguchi Prefecture,chugoku
Ehime Prefecture,shikoku
Kagawa Prefecture,shikoku
Kochi Prefecture,shikoku
Tokushima Prefecture,shikoku
Fukuoka Prefecture,kyushu
Kagoshima Prefecture,kyushu
Kumamoto Prefecture,kyushu
Miyazaki Prefecture,kyushu
Nagasaki Prefecture,kyushu
Oita Prefecture,kyushu
Okinawa Prefecture,kyushu
Saga Prefecture,kyushu
